"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045839","negative regulation of mitotic nuclear division","28/2849","64/18842",0.4375,2.89342751842752,6.40393971786053,3.89679153710764e-08,4.77517502521988e-06,4.77517502521988e-06,"KNTC1/RAD21/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/CHEK1/BUB1/CDC20",28
"GO:0007093","mitotic cell cycle checkpoint signaling","47/2849","140/18842",0.335714285714286,2.22026274883418,6.11655064420784,3.90980487872806e-08,4.77517502521988e-06,4.77517502521988e-06,"TICRR/KNTC1/CCND1/BUB3/NUF2/EME1/ORC1/TEX14/AURKB/SKA1/BIRC5/HASPIN/BARD1/ZWILCH/TTK/CDC6/ZWINT/PLK1/MUC1/TRIP13/MAD2L1/SKA3/SPC25/CLSPN/TIMELESS/NDC80/EME2/CDK1/CDC7/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/CHEK1/DONSON/DBF4/BUB1/FANCD2/HUS1B/BRCA1/CDC20/BLM/BRSK1/DTL",47
"GO:0031577","spindle checkpoint signaling","26/2849","57/18842",0.456140350877193,3.01670638512744,6.43587695264918,4.16841270422815e-08,4.98034700487781e-06,4.98034700487781e-06,"KNTC1/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",26
"GO:0051383","kinetochore organization","19/2849","34/18842",0.558823529411765,3.69580657815952,6.64033683796496,4.54083919610563e-08,5.30988345144607e-06,5.30988345144607e-06,"CENPH/CENPI/DLGAP5/H3Y1/KNTC1/HJURP/NUF2/CENPK/CENPA/CENPE/H3Y2/OIP5/CENPO/CENPF/MIS18A/CENPX/CENPP/CENPN/CENPW",19
"GO:0051985","negative regulation of chromosome segregation","27/2849","61/18842",0.442622950819672,2.92730840271824,6.36341147536702,5.03807106680065e-08,5.76859137148674e-06,5.76859137148674e-06,"KNTC1/RAD21/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",27
"GO:0007088","regulation of mitotic nuclear division","42/2849","120/18842",0.35,2.31474201474202,6.09801200621948,5.34154911705031e-08,5.99125590761398e-06,5.99125590761398e-06,"DLGAP5/KNTC1/DMRT1/RAD21/BUB3/NUF2/TEX14/UBE2C/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/RCC1/PLK1/TRIP13/MAD2L1/SKA3/PKMYT1/SPC25/NEK2/ESPL1/NDC80/MKI67/CDCA2/GEN1/SPC24/CDCA8/CENPF/CDC25C/BUB1B/AURKA/CCNB1/FBXO43/EPGN/ANAPC11/KNL1/CHEK1/BUB1/CDC20",42
"GO:0033047","regulation of mitotic sister chromatid segregation","28/2849","65/18842",0.430769230769231,2.84891324891325,6.30221682040251,5.86163949295147e-08,6.44311413065225e-06,6.44311413065225e-06,"KNTC1/RAD21/BUB3/NUF2/TEX14/AURKB/SKA1/BIRC5/HASPIN/ZWILCH/TTK/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/SPC25/NDC80/CDK1/GEN1/SPC24/CDCA8/CENPF/BUB1B/CCNB1/KNL1/BUB1/CDC20",28
"GO:0061982","meiosis I cell cycle process","43/2849","125/18842",0.344,2.27506072306072,6.03671934033432,6.60385126671513e-08,7.1166208944836e-06,7.1166208944836e-06,"RAD51/MAJIN/MYBL1/TEX11/RAD21/RMI1/EME1/TEX15/SGO1/CENPS/P3H4/RAD54L/CDC25B/ZWINT/KASH5/TRIP13/PKMYT1/RAD51AP1/SGO2/NDC80/BRIP1/EME2/MND1/BRDT/CDC25A/HORMAD1/REC8/CDC25C/CENPX/SYCE3/TEX19/DNMT3L/KNL1/PTTG3P/MAPK15/SYCP2/RAD54B/HSF2BP/TOP2A/FANCD2/CDC20/BRCA2/PTTG1",43
"GO:0090068","positive regulation of cell cycle process","71/2849","252/18842",0.281746031746032,1.86334107762679,5.82339449198886,6.87376329710339e-08,7.26503905401542e-06,7.26503905401542e-06,"KIF14/GIPC1/CIT/DLGAP5/CCND1/GPSM2/PLK4/DMRT1/RAD21/RXFP3/NCAPG/UBE2C/AURKB/SKA1/CCNE2/RCC2/RRM2/BIRC5/FEN1/E2F8/RACGAP1/EZH2/CDC6/CDC25B/NCAPG2/KIF23/RCC1/PLK1/MAD2L1/SKA3/LEF1/STIL/RAD51AP1/ESPL1/NDC80/STRA8/MACROH2A1/PAGR1/CDK1/CXCR5/CDC25A/CDC7/NCAPH/GEN1/CDCA8/SSTR5/MEIOSIN/E2F7/CDC25C/PKP3/AURKA/CCNE1/CCNB1/TAS2R13/EPGN/PHOX2B/ANAPC11/KNL1/MAPK15/DBF4/BUB1/MTBP/SACK1D/TERT/CDC20/ECT2/DTL/SPAG5/SMC4/PPP1R35/TBX20",71
"GO:0051983","regulation of chromosome segregation","46/2849","140/18842",0.328571428571429,2.17302311588026,5.87976261830728,1.12706736914945e-07,1.16874759638592e-05,1.16874759638592e-05,"DLGAP5/KNTC1/RAD21/BUB3/NUF2/NCAPG/TEX14/UBE2C/AURKB/SKA1/RCC2/BIRC5/HASPIN/ZWILCH/TTK/CDC6/DPF1/NCAPG2/ZWINT/PLK1/TRIP13/MAD2L1/SKA3/CENPE/SPC25/ESPL1/NDC80/CDK1/NCAPH/GEN1/SPC24/CDCA8/HORMAD1/ACTL6B/CENPF/RMI2/BUB1B/CCNB1/ANAPC11/TACC3/KNL1/KIF2C/MAPK15/BUB1/CDC20/SMC4",46
"GO:0051382","kinetochore assembly","18/2849","33/18842",0.545454545454545,3.6073901528447,6.32722631132432,1.6991085484584e-07,1.72931492265322e-05,1.72931492265322e-05,"CENPH/CENPI/DLGAP5/H3Y1/KNTC1/HJURP/CENPK/CENPA/CENPE/H3Y2/OIP5/CENPO/CENPF/MIS18A/CENPX/CENPP/CENPN/CENPW",18
